analyst results 5.-list first name, last name, and sex of each employee whose first name is Hercules and whose last name begins with the letter B.



"first_name","last_name","birth_date","sex"
"Hercules","Baer","1964-10-12","M"
"Hercules","Biron","1957-10-17","F"
"Hercules","Birge","1964-12-24","F"
"Hercules","Berstel","1954-04-05","F"
"Hercules","Bernatsky","1954-08-27","M"
"Hercules","Bail","1961-08-14","F"
"Hercules","Bodoff","1959-02-13","M"
"Hercules","Benantar","1963-07-20","F"
"Hercules","Basagni","1954-03-01","M"
"Hercules","Bernardinello","1964-09-03","F"
"Hercules","Baranowski","1954-11-17","M"
"Hercules","Bisiani","1962-02-27","F"
"Hercules","Benzmuller","1953-11-27","M"
"Hercules","Biran","1954-08-28","F"
"Hercules","Bain","1952-07-16","F"
"Hercules","Brendel","1964-07-31","F"
"Hercules","Buchter","1964-08-14","M"
"Hercules","Barreiro","1960-07-06","M"
"Hercules","Bahr","1957-10-17","M"
"Hercules","Baak","1960-10-15","M"
